date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:49:35	1470/1470	---M-Z	200	added ('OK')	text/css	etag:W/%2269538c3d-5be%22	https://nexus-is.onthewifi.com/storage/css/static-embed.css	C:/Users/farsh/OneDrive/Desktop/websites/nexus/nexus-is.onthewifi.com/storage/css/static-embed.css	(from https://nexus-is.onthewifi.com/static/embed.html?p=)
17:49:36	219/219	---M--	200	added ('OK')	application/javascript	etag:%2269538c3e-db%22	https://nexus-is.onthewifi.com/static/embed.js	C:/Users/farsh/OneDrive/Desktop/websites/nexus/nexus-is.onthewifi.com/static/embed.js	(from https://nexus-is.onthewifi.com/static/embed.html?p=)
17:49:36	2735/2735	---M-Z	200	added ('OK')	text/css	etag:W/%2269538c3e-aaf%22	https://nexus-is.onthewifi.com/storage/css/iframe2.css	C:/Users/farsh/OneDrive/Desktop/websites/nexus/nexus-is.onthewifi.com/storage/css/iframe2.css	(from https://nexus-is.onthewifi.com/pages/apps-frame?url=/pages/blocked.html)
17:49:36	7290/7290	---M-Z	200	added ('OK')	application/javascript	etag:W/%2267c077c8-1c7a%22	https://voucan-us4.github.io/ai/bookmarklet.js	C:/Users/farsh/OneDrive/Desktop/websites/nexus/voucan-us4.github.io/ai/bookmarklet.js	(from https://nexus-is.onthewifi.com/pages/apps-frame?url=/pages/blocked.html)
17:49:36	5802/5802	---M-Z	200	added ('OK')	text/html	etag:W/%2269538c38-16aa%22	https://nexus-is.onthewifi.com/pages/data	C:/Users/farsh/OneDrive/Desktop/websites/nexus/nexus-is.onthewifi.com/pages/data.html	(from https://nexus-is.onthewifi.com/pages/apps-frame?url=/pages/blocked.html)
17:49:37	978/978	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2269538c3f-3d2%22	https://nexus-is.onthewifi.com/storage/js/settings-1.js	C:/Users/farsh/OneDrive/Desktop/websites/nexus/nexus-is.onthewifi.com/storage/js/settings-1.js	(from https://nexus-is.onthewifi.com/pages/apps-frame?url=/pages/blocked.html)
17:49:37	958/958	---M-Z	200	added ('OK')	application/javascript	etag:W/%2269538c3f-3be%22	https://nexus-is.onthewifi.com/static/search.js	C:/Users/farsh/OneDrive/Desktop/websites/nexus/nexus-is.onthewifi.com/static/search.js	(from https://nexus-is.onthewifi.com/pages/apps-frame?url=/pages/blocked.html)
17:49:37	859/859	---M-Z	200	added ('OK')	application/javascript	etag:W/%2269538c3e-35b%22	https://nexus-is.onthewifi.com/static/index.js	C:/Users/farsh/OneDrive/Desktop/websites/nexus/nexus-is.onthewifi.com/static/index.js	(from https://nexus-is.onthewifi.com/pages/apps-frame?url=/pages/blocked.html)
17:49:37	978/978	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2269538c3f-3d2%22	https://nexus-is.onthewifi.com/pages/secret/games.js	C:/Users/farsh/OneDrive/Desktop/websites/nexus/nexus-is.onthewifi.com/pages/secret/games.js	(from https://nexus-is.onthewifi.com/pages/secret/)
17:49:38	11381/11381	---M--	200	added ('OK')	image/gif	etag:%2269538c3d-2c75%22	https://nexus-is.onthewifi.com/storage/images/bg.gif	C:/Users/farsh/OneDrive/Desktop/websites/nexus/nexus-is.onthewifi.com/storage/images/bg.gif	(from https://nexus-is.onthewifi.com/storage/css/iframe2.css)
17:49:38	2031/2031	---M-Z	200	added ('OK')	text/css	etag:W/%2269538c3d-7ef%22	https://nexus-is.onthewifi.com/storage/css/data.css	C:/Users/farsh/OneDrive/Desktop/websites/nexus/nexus-is.onthewifi.com/storage/css/data.css	(from https://nexus-is.onthewifi.com/pages/data)
